,tanggal,pm10,so2,co,o3,no2,max,critical,categori,location,pm25,no3
20,2021-06-21,62,55,16,44,35.0,90,PM25,SEDANG,DKI4,90.0,
21,2021-06-22,59,54,16,38,35.0,84,PM25,SEDANG,DKI4,84.0,
22,2021-06-23,66,52,17,51,43.0,107,PM25,TIDAK SEHAT,DKI4,107.0,
23,2021-06-24,80,54,19,42,52.0,119,PM25,TIDAK SEHAT,DKI4,119.0,
24,2021-06-25,85,58,30,40,63.0,147,PM25,TIDAK SEHAT,DKI4,147.0,
25,2021-06-26,67,53,10,53,23.0,118,PM25,TIDAK SEHAT,DKI4,118.0,
26,2021-06-27,72,57,22,57,41.0,134,PM25,TIDAK SEHAT,DKI4,134.0,
27,2021-06-28,65,53,18,61,38.0,117,PM25,TIDAK SEHAT,DKI4,117.0,
28,2021-06-29,75,52,24,51,50.0,128,PM25,TIDAK SEHAT,DKI5,128.0,
29,2021-06-30,79,57,19,55,38.0,125,PM25,TIDAK SEHAT,DKI4,125.0,
0,2021-07-01,64,53,14,48,31.0,114,PM25,TIDAK SEHAT,DKI4,114.0,
1,2021-07-02,68,56,23,40,51.0,108,PM25,TIDAK SEHAT,DKI4,108.0,
2,2021-07-03,80,54,13,44,27.0,141,PM25,TIDAK SEHAT,DKI4,141.0,
3,2021-07-04,94,51,15,50,25.0,161,PM25,TIDAK SEHAT,DKI4,161.0,
4,2021-07-05,83,56,13,62,26.0,153,PM25,TIDAK SEHAT,DKI4,153.0,
5,2021-07-06,68,51,10,55,29.0,102,PM25,TIDAK SEHAT,DKI3,102.0,
6,2021-07-07,84,54,12,51,27.0,130,PM25,TIDAK SEHAT,DKI4,130.0,
7,2021-07-08,83,56,11,50,26.0,145,PM25,TIDAK SEHAT,DKI4,145.0,
8,2021-07-09,92,59,11,56,26.0,156,PM25,TIDAK SEHAT,DKI4,156.0,
9,2021-07-10,78,54,10,63,23.0,132,PM25,TIDAK SEHAT,DKI4,132.0,
10,2021-07-11,66,54,10,54,17.0,119,PM25,TIDAK SEHAT,DKI4,119.0,
11,2021-07-12,64,52,9,44,14.0,64,PM10,SEDANG,DKI2,59.0,
12,2021-07-13,78,54,11,43,26.0,119,PM25,TIDAK SEHAT,DKI2,119.0,
13,2021-07-14,66,51,13,50,26.0,116,PM25,TIDAK SEHAT,DKI4,116.0,
14,2021-07-15,95,62,15,56,30.0,174,PM25,TIDAK SEHAT,DKI4,174.0,
15,2021-07-16,85,53,11,53,29.0,138,PM25,TIDAK SEHAT,DKI4,138.0,
16,2021-07-17,74,55,10,58,20.0,134,PM25,TIDAK SEHAT,DKI4,134.0,
17,2021-07-18,82,55,13,58,27.0,150,PM25,TIDAK SEHAT,DKI4,150.0,
18,2021-07-19,80,51,11,77,28.0,140,PM25,TIDAK SEHAT,DKI4,140.0,
19,2021-07-20,86,51,15,60,24.0,147,PM25,TIDAK SEHAT,DKI4,147.0,
20,2021-07-21,55,52,9,58,19.0,102,PM25,TIDAK SEHAT,DKI4,102.0,
21,2021-07-22,60,53,11,54,27.0,110,PM25,TIDAK SEHAT,DKI4,110.0,
22,2021-07-23,63,52,10,59,28.0,104,PM25,TIDAK SEHAT,DKI4,104.0,
23,2021-07-24,66,54,13,51,34.0,104,PM25,TIDAK SEHAT,DKI4,104.0,
24,2021-07-25,81,55,24,54,42.0,148,PM25,TIDAK SEHAT,DKI4,148.0,
25,2021-07-26,79,54,16,46,32.0,131,PM25,TIDAK SEHAT,DKI4,131.0,
26,2021-07-27,82,56,13,41,35.0,140,PM25,TIDAK SEHAT,DKI4,140.0,
